,Cattle Prices,,,,,,,Hog prices,,Sheep & lamb prices,,,
,TX/OK Steers,"NE Steers,",   Steers:  Med. #1,   Steers:  Med. #1,   Steers:  Med. #1,   Heifers:  Med. #1,   Heifers:  Med. #1,  Barrows and gilts,  Sows,"San Angelo, TX","St. Joseph, MO","San Angelo, TX","San Angelo, TX"
NOTE: Zeros indicate missing data or no quotes.,35-65 percent Choice,65-80 percent Choice,     500-550 lb,     600-650 lb,     750-800 lb,     450-500 lb,     700-750 lb,    National base 51-52% lean (live equivalent = carcass x .74),,"     Slaughter lambs, Choice",,"     Ewes, Good","     Feeder lambs, Choice"
Period,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,,$/cwt,$/cwt
Oct-10,98.89,97.85,117.78,110.49,109.26,107.06,102.05,52.41,51.09,129.69,141.34,58.06,155.75
Nov-10,100.01,99.89,127.77,115.11,113.35,113.46,107.00,47.00,44.76,138.50,148.08,64.38,170.13
Dec-10,104.42,102.30,138.45,123.06,118.04,119.54,111.59,50.92,46.06,156.67,151.65,74.50,184.33
Jan-11,106.10,105.12,142.90,131.59,124.54,125.54,116.60,55.56,45.76,164.19,154.07,74.50,83.50
Feb-11,109.22,109.50,157.07,144.08,128.37,138.62,121.30,61.62,51.62,182.63,157.65,86.00,212.50
Mar-11,115.58,116.81,159.85,146.67,128.69,143.05,121.65,62.63,55.58,177.15,176.04,81.45,212.50
Apr-11,119.58,119.80,153.12,145.04,131.46,144.57,124.94,68.10,56.52,152.88,187.36,70.63,211.50
May-11,109.79,111.42,147.12,137.72,129.78,137.58,122.65,68.41,55.25,160.20,186.58,58.00,58.08
Jun-11,106.66,109.00,140.69,134.45,132.03,131.37,122.64,69.88,52.38,160.88,197.26,49.88,215.63
Jul-11,111.71,110.87,145.05,140.28,137.86,136.33,128.56,71.65,54.62,169.47,201.02,53.50,223.33
Aug-11,113.57,114.17,143.21,139.64,135.24,131.69,125.41,76.09,66.85,162.13,187.19,61.58,226.67
Sep-11,117.25,117.17,138.74,136.65,131.12,128.02,123.59,65.45,63.05,152.80,182.99,62.00,223.60
Oct-11,120.38,121.25,147.23,142.14,138.64,133.28,126.56,68.44,59.93,154.00,175.95,68.30,209.60
Nov-11,123.16,124.76,164.22,148.29,144.02,144.77,131.07,63.40,58.52,156.80,171.94,72.75,210.67
Dec-11,121.32,122.80,165.89,148.41,143.12,146.77,135.03,62.14,53.23,135.83,164.19,73.00,210.67
Jan-12,123.58,123.73,178.61,160.71,148.40,160.02,141.04,62.18,54.23,147.40,158.33,80.50,222.00
Feb-12,126.43,125.74,189.03,174.13,155.58,175.53,143.94,63.94,56.19,148.13,156.72,88.75,217.00
Mar-12,126.59,127.16,198.97,180.24,154.44,180.33,144.44,61.86,56.56,141.94,152.89,85.63,207.50
Apr-12,120.55,122.46,192.07,169.90,148.04,170.84,137.59,58.99,51.59,136.75,150.46,84.00,207.75
May-12,120.59,122.07,188.94,166.51,151.00,169.92,140.55,58.51,47.41,128.50,151.08,58.60,170.05
Jun-12,120.32,119.27,179.71,164.86,151.12,162.37,142.04,67.87,48.63,116.00,146.86,51.00,139.88
Jul-12,114.81,114.95,149.50,141.29,137.24,138.13,130.26,69.93,44.29,103.64,126.34,53.50,105.00
Aug-12,119.91,120.12,157.20,143.03,137.26,141.86,130.64,63.51,37.32,83.32,113.07,53.13,97.38
Sep-12,125.02,125.14,159.07,148.51,143.44,145.86,135.22,50.85,36.36,80.88,105.31,50.38,103.50
Oct-12,126.15,125.61,166.12,148.27,142.08,150.12,132.17,59.06,40.84,96.20,102.66,53.90,110.25
Nov-12,126.63,125.75,166.08,149.49,142.81,147.57,133.81,57.67,54.73,84.67,99.49,59.00,107.67
Dec-12,125.52,125.65,162.05,151.28,145.32,148.17,138.04,59.16,50.12,88.67,104.83,54.33,104.50
Jan-13,124.97,124.33,134.75,149.68,143.40,160.09,134.67,61.22,46.08,114.25,111.22,60.00,145.75
Feb-13,124.42,125.47,178.88,158.09,141.77,163.40,136.00,61.59,46.07,109.57,117.54,57.50,147.13
Mar-13,126.39,126.33,173.55,153.76,136.26,154.30,129.31,54.28,59.27,98.76,118.05,52.38,135.25
Apr-13,127.21,128.08,166.05,153.56,134.40,147.69,127.01,57.71,56.30,88.90,119.52,44.10,122.00
May-13,125.39,126.48,159.48,143.78,128.16,143.36,126.12,66.03,52.75,92.50,119.29,34.00,107.00
Jun-13,120.81,121.70,165.24,146.43,136.75,142.06,131.20,72.65,57.25,93.76,117.88,36.25,97.13
Jul-13,118.97,120.41,175.41,155.24,145.80,154.53,139.74,72.88,69.64,91.90,118.53,42.88,105.00
Aug-13,121.90,123.78,180.69,162.54,152.83,160.15,143.13,71.03,57.67,86.50,116.89,45.13,103.00
Sep-13,123.98,124.23,179.24,164.82,157.62,162.40,147.22,67.84,71.68,104.38,119.62,40.88,121.75
Oct-13,128.72,130.09,188.16,169.87,159.36,174.33,151.77,64.95,65.09,146.50,140.54,43.75,195.00
Nov-13,131.54,132.23,198.18,173.33,162.95,184.72,163.05,60.21,68.05,143.09,152.31,47.67,183.67
Dec-13,132.06,131.18,196.58,174.96,162.75,177.85,154.22,58.16,66.10,163.33,156.34,72.83,199.50
Jan-14,141.41,143.33,212.68,181.87,165.73,186.63,158.30,58.36,60.52,165.00,155.67,70.50,192.73
Feb-14,144.85,146.45,210.19,187.56,164.31,190.60,153.15,63.88,59.49,168.38,159.68,66.75,208.88
Mar-14,149.24,151.93,221.48,197.60,173.85,202.55,165.01,83.82,75.41,154.88,163.92,62.88,212.75
